Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2022-08-01,271.1324157714844,278.010009765625,281.2799987792969,275.8399963378906,277.82000732421875,21539600
2022-08-02,268.0213317871094,274.82000732421875,277.8900146484375,272.3800048828125,276.0,22754200
2022-08-03,275.4820861816406,282.4700012207031,283.5,276.6099853515625,276.760009765625,23518900
2022-08-04,276.63287353515625,283.6499938964844,283.79998779296875,280.1700134277344,281.79998779296875,18098700
2022-08-05,275.9112243652344,282.9100036621094,283.6499938964844,278.67999267578125,279.1499938964844,16774600
2022-08-08,273.38525390625,280.32000732421875,285.9200134277344,279.32000732421875,284.04998779296875,18739200
2022-08-09,275.3162536621094,282.29998779296875,283.0799865722656,277.6099853515625,279.6400146484375,23405200
2022-08-10,282.0065612792969,289.1600036621094,289.80999755859375,286.94000244140625,288.1700134277344,24687800
2022-08-11,279.91949462890625,287.0199890136719,291.2099914550781,286.510009765625,290.8500061035156,20065900
2022-08-12,284.68853759765625,291.9100036621094,291.9100036621094,286.94000244140625,288.4800109863281,22619700
2022-08-15,286.2099609375,293.4700012207031,294.17999267578125,290.1099853515625,291.0,18085700
2022-08-16,285.46881103515625,292.7099914550781,294.0400085449219,290.4200134277344,291.989990234375,18102900
2022-08-17,284.7162170410156,291.32000732421875,293.3500061035156,289.4700012207031,289.739990234375,18253400
2022-08-18,283.5923156738281,290.1700134277344,291.9100036621094,289.0799865722656,290.19000244140625,17186200
2022-08-19,279.66339111328125,286.1499938964844,289.25,285.55999755859375,288.8999938964844,20570000
2022-08-22,271.4538269042969,277.75,282.4599914550781,277.2200012207031,282.0799865722656,25061100
2022-08-23,270.1735534667969,276.44000244140625,278.8599853515625,275.3999938964844,276.44000244140625,17527400
2022-08-24,269.53826904296875,275.7900085449219,277.2300109863281,275.1099853515625,275.4100036621094,18137000
2022-08-25,272.52886962890625,278.8500061035156,279.0199890136719,274.5199890136719,277.3299865722656,16583400
2022-08-26,262.01275634765625,268.0899963378906,280.3399963378906,267.9800109863281,279.0799865722656,27549300
2022-08-29,259.2176208496094,265.2300109863281,267.3999938964844,263.8500061035156,265.8500061035156,20338500
2022-08-30,257.00885009765625,262.9700012207031,267.04998779296875,260.6600036621094,266.6700134277344,22767100
2022-08-31,255.5429229736328,261.4700012207031,267.1099853515625,261.3299865722656,265.3900146484375,24791800
2022-09-01,254.49710083007812,260.3999938964844,260.8900146484375,255.41000366210938,258.8699951171875,23263400
2022-09-02,250.2554931640625,256.05999755859375,264.739990234375,254.47000122070312,261.70001220703125,22855400
2022-09-06,247.50921630859375,253.25,257.8299865722656,251.94000244140625,256.20001220703125,21328200
2022-09-07,252.23948669433594,258.0899963378906,258.8299865722656,253.22000122070312,254.6999969482422,24126700
2022-09-08,252.65972900390625,258.5199890136719,260.42999267578125,254.7899932861328,257.510009765625,20319900
2022-09-09,258.465087890625,264.4599914550781,265.2300109863281,260.2900085449219,260.5,22084700
2022-09-12,260.60540771484375,266.6499938964844,267.45001220703125,265.1600036621094,265.7799987792969,18747700
2022-09-13,246.27777099609375,251.99000549316406,260.3999938964844,251.58999633789062,258.8399963378906,33353300
2022-09-14,246.50254821777344,252.22000122070312,254.22999572753906,249.86000061035156,253.52999877929688,23913000
2022-09-15,239.81759643554688,245.3800048828125,251.39999389648438,244.02000427246094,249.77000427246094,31530900
2022-09-16,239.19212341308594,244.74000549316406,245.3000030517578,242.05999755859375,244.25999450683594,39791800
2022-09-19,238.9770965576172,244.52000427246094,245.13999938964844,240.85000610351562,242.47000122070312,26826900
2022-09-20,236.95404052734375,242.4499969482422,243.50999450683594,239.63999938964844,242.07000732421875,26660300
2022-09-21,233.5333709716797,238.9499969482422,247.66000366210938,238.89999389648438,244.27000427246094,28625600
2022-09-22,235.51734924316406,240.97999572753906,243.86000061035156,237.57000732421875,237.8699951171875,31061200
2022-09-23,232.52670288085938,237.9199981689453,241.1300048828125,235.1999969482422,239.5399932861328,34176000
2022-09-26,232.06739807128906,237.4499969482422,241.4499969482422,236.89999389648438,237.0500030517578,27694200
