Date,MSFT
2022-08-01,271.1324157714844
2022-08-02,268.0213317871094
2022-08-03,275.4820861816406
2022-08-04,276.63287353515625
2022-08-05,275.9112243652344
2022-08-08,273.38525390625
2022-08-09,275.3162536621094
2022-08-10,282.0065612792969
2022-08-11,279.91949462890625
2022-08-12,284.68853759765625
2022-08-15,286.2099609375
2022-08-16,285.46881103515625
2022-08-17,284.7162170410156
2022-08-18,283.5923156738281
2022-08-19,279.66339111328125
2022-08-22,271.4538269042969
2022-08-23,270.1735534667969
2022-08-24,269.53826904296875
2022-08-25,272.52886962890625
2022-08-26,262.01275634765625
2022-08-29,259.2176208496094
2022-08-30,257.00885009765625
2022-08-31,255.5429229736328
2022-09-01,254.49710083007812
2022-09-02,250.2554931640625
2022-09-06,247.50921630859375
2022-09-07,252.23948669433594
2022-09-08,252.65972900390625
2022-09-09,258.465087890625
2022-09-12,260.60540771484375
2022-09-13,246.27777099609375
2022-09-14,246.50254821777344
2022-09-15,239.81759643554688
2022-09-16,239.19212341308594
2022-09-19,238.9770965576172
2022-09-20,236.95404052734375
2022-09-21,233.5333709716797
2022-09-22,235.51734924316406
2022-09-23,232.52670288085938
2022-09-26,232.06739807128906
2022-09-27,231.05093383789062
2022-09-28,235.60531616210938
2022-09-29,232.11624145507812
2022-09-30,227.62051391601562
2022-10-03,235.28277587890625
2022-10-04,243.23828125
2022-10-05,243.55101013183594
2022-10-06,241.1956024169922
2022-10-07,228.9301300048828
2022-10-10,224.0532684326172
2022-10-11,220.30029296875
2022-10-12,220.632568359375
2022-10-13,228.9301300048828
2022-10-14,223.37889099121094
2022-10-17,232.14552307128906
2022-10-18,233.09353637695312
2022-10-19,231.1193389892578
2022-10-20,230.7968292236328
2022-10-21,236.6315155029297
2022-10-24,241.6451873779297
2022-10-25,244.97793579101562
2022-10-26,226.07635498046875
2022-10-27,221.60989379882812
2022-10-28,230.52320861816406
2022-10-31,226.86798095703125
2022-11-01,222.99774169921875
2022-11-02,215.1106719970703
2022-11-03,209.3932647705078
2022-11-04,216.37144470214844
2022-11-07,222.7045135498047
2022-11-08,223.6818389892578
2022-11-09,219.42068481445312
2022-11-10,237.47201538085938
2022-11-11,241.5083770751953
2022-11-14,236.07440185546875
2022-11-15,236.48489379882812
2022-11-16,236.91612243652344
2022-11-17,236.8671112060547
2022-11-18,236.41629028320312
2022-11-21,237.22976684570312
2022-11-22,240.15040588378906
2022-11-23,242.64962768554688
2022-11-25,242.56143188476562
2022-11-28,236.94554138183594
2022-11-29,235.54403686523438
2022-11-30,250.05909729003906
2022-12-01,249.61801147460938
2022-12-02,249.9414825439453
2022-12-05,245.21746826171875
2022-12-06,240.23861694335938
2022-12-07,239.50352478027344
2022-12-08,242.4731903076172
2022-12-09,240.53265380859375
2022-12-12,247.48146057128906
2022-12-13,251.80364990234375
2022-12-14,252.09767150878906
2022-12-15,244.05116271972656
2022-12-16,239.81716918945312
2022-12-19,235.66162109375
2022-12-20,236.9847412109375
2022-12-21,239.5623779296875
2022-12-22,233.44662475585938
2022-12-23,233.97586059570312
2022-12-27,232.2411346435547
2022-12-28,229.85952758789062
2022-12-29,236.21046447753906
2022-12-30,235.04417419433594
2023-01-03,234.80894470214844
2023-01-04,224.53765869140625
2023-01-05,217.88284301757812
2023-01-06,220.45068359375
2023-01-09,222.59707641601562
2023-01-10,224.29263305664062
2023-01-11,231.0748291015625
2023-01-12,233.76026916503906
2023-01-13,234.46591186523438
2023-01-17,235.56362915039062
2023-01-18,231.11404418945312
2023-01-19,227.31129455566406
2023-01-20,235.4362335205078
2023-01-23,237.74920654296875
2023-01-24,237.21995544433594
2023-01-25,235.81845092773438
2023-01-26,243.061279296875
2023-01-27,243.2180633544922
2023-01-30,237.8766326904297
2023-01-31,242.87506103515625
2023-02-01,247.71665954589844
2023-02-02,259.33074951171875
2023-02-03,253.2052001953125
2023-02-06,251.65660095214844
2023-02-07,262.23175048828125
2023-02-08,261.41827392578125
2023-02-09,258.3702087402344
2023-02-10,257.8605651855469
2023-02-13,265.9168701171875
2023-02-14,266.74993896484375
2023-02-15,264.61785888671875
2023-02-16,257.572998046875
2023-02-17,253.554443359375
2023-02-21,248.258544921875
2023-02-22,247.11880493164062
2023-02-23,250.32186889648438
2023-02-24,244.86875915527344
2023-02-27,245.79234313964844
2023-02-28,245.0652618408203
2023-03-01,241.97027587890625
2023-03-02,246.7257843017578
2023-03-03,250.83279418945312
2023-03-06,252.38519287109375
2023-03-07,249.7126922607422
2023-03-08,249.27052307128906
2023-03-09,247.91465759277344
2023-03-10,244.249755859375
2023-03-13,249.48672485351562
2023-03-14,256.23675537109375
2023-03-15,260.8055725097656
2023-03-16,271.3777160644531
2023-03-17,274.5513000488281
2023-03-20,267.47698974609375
2023-03-21,269.0
2023-03-22,267.5360107421875
2023-03-23,272.8122253417969
2023-03-24,275.6714172363281
2023-03-27,271.5545959472656
2023-03-28,270.4246826171875
2023-03-29,275.61248779296875
2023-03-30,279.09063720703125
2023-03-31,283.2664489746094
2023-04-03,282.21514892578125
2023-04-04,282.166015625
2023-04-05,279.3756103515625
2023-04-06,286.5088195800781
2023-04-10,284.33740234375
2023-04-11,277.89190673828125
2023-04-12,278.5404357910156
2023-04-13,284.7795715332031
2023-04-14,281.14422607421875
2023-04-17,283.75775146484375
2023-04-18,283.33526611328125
2023-04-19,283.413818359375
2023-04-20,281.11468505859375
2023-04-21,280.77081298828125
2023-04-24,276.8504333496094
2023-04-25,270.6112976074219
2023-04-26,290.2130432128906
2023-04-27,299.5079040527344
